status,old,new,status_code,actual_url,redirects
GOOD,/fr/tag/microsoft-office-fr/feed/,/fr,200,/fr,/fr/tag/microsoft-office-fr/feed -> /fr
GOOD,/fr/tag/skype-fr/feed/,/fr,200,/fr,/fr/tag/skype-fr/feed -> /fr
GOOD,/fr/tag/smart-data-fr/feed/,/fr,200,/fr,/fr/tag/smart-data-fr/feed -> /fr
GOOD,/fr/rebus-brings-power-new-integrations/feed/,/fr,200,/fr,/fr/rebus-brings-power-new-integrations/feed -> /fr
GOOD,/fr/tag/analytics-fr/feed/,/fr,200,/fr,/fr/tag/analytics-fr/feed -> /fr
GOOD,/fr/visit-rebus-analytics-at-modex-show-in-atlanta/feed/,/fr,200,/fr,/fr/visit-rebus-analytics-at-modex-show-in-atlanta/feed -> /fr
GOOD,/fr/tag/rebus-fr/feed/,/fr,200,/fr,/fr/tag/rebus-fr/feed -> /fr
GOOD,/fr/tag/benefits-fr/feed/,/fr,200,/fr,/fr/tag/benefits-fr/feed -> /fr
GOOD,/fr/why-supply-chain-analytics/feed/,/fr,200,/fr,/fr/why-supply-chain-analytics/feed -> /fr
FAIL,/fr/what-is-rebus-analytics-platform/,/services/software/rebus,404,/fr/what-is-rebus-analytics-platform,/fr/what-is-rebus-analytics-platform
FAIL,/,/products/rebus-analytics,200,/en-us,/en-us
FAIL,/privacy-policy/,/privacy,200,/en-us/privacy,/privacy-policy -> /en-us/privacy
FAIL,/rebus-brings-power-new-integrations/,/services/software/rebus,200,/en-us/services/software/rebus,/rebus-brings-power-new-integrations -> /en-us/services/software/rebus
FAIL,/learning/,/products/rebus-analytics,200,/en-us/products/rebus-analytics,/learning -> /en-us/products/rebus-analytics
FAIL,/product-overview/,/products/rebus-analytics,200,/en-us/products/rebus-analytics,/product-overview -> /en-us/products/rebus-analytics
FAIL,/getting-started/,/products/rebus-analytics,200,/en-us/products/rebus-analytics,/getting-started -> /en-us/products/rebus-analytics
FAIL,/distribution-visibility-its-time-for-real-time/,/products/rebus-analytics,200,/en-us/products/rebus-analytics,/distribution-visibility-its-time-for-real-time -> /en-us/products/rebus-analytics
FAIL,/rebus-analytics-at-modex-show-in-atlanta/,/products/rebus-analytics,200,/en-us/products/rebus-analytics,/rebus-analytics-at-modex-show-in-atlanta -> /en-us/products/rebus-analytics
FAIL,/rebus-brings-in-new-vp-of-solutions-and-product-management/,/products/rebus-analytics,200,/en-us/products/rebus-analytics,/rebus-brings-in-new-vp-of-solutions-and-product-management -> /en-us/products/rebus-analytics
FAIL,/big-data-vs-smart-data-demand-more-from-your-data/,/products/rebus-analytics,200,/en-us/products/rebus-analytics,/big-data-vs-smart-data-demand-more-from-your-data -> /en-us/products/rebus-analytics
FAIL,/rebus-earns-soc-2-certification/,/products/rebus-analytics,200,/en-us/products/rebus-analytics,/rebus-earns-soc-2-certification -> /en-us/products/rebus-analytics
FAIL,/the-real-cost-of-manual-analytics-in-the-supply-chain/,/products/rebus-analytics,200,/en-us/products/rebus-analytics,/the-real-cost-of-manual-analytics-in-the-supply-chain -> /en-us/products/rebus-analytics
FAIL,/author/awakefield/,/products/rebus-analytics,200,/en-us/products/rebus-analytics,/author/awakefield -> /en-us/products/rebus-analytics
FAIL,/2018/02/,/products/rebus-analytics,200,/en-us/products/rebus-analytics,/2018/02 -> /en-us/products/rebus-analytics
FAIL,/the-latest-on-rebus/,/products/rebus-analytics,200,/en-us/products/rebus-analytics,/the-latest-on-rebus -> /en-us/products/rebus-analytics
FAIL,/tag/rebus-team/,/products/rebus-analytics,200,/en-us/products/rebus-analytics,/tag/rebus-team -> /en-us/products/rebus-analytics
FAIL,/supply-chain-analytics/,/products/rebus-analytics,200,/en-us/products/rebus-analytics,/supply-chain-analytics -> /en-us/products/rebus-analytics
